School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Williamson Middle School,"#9,884 Best Public Middle Schools in America",Williamson Central School District,NY,5-8,2.0,1,B,319,13:1,2019-03-19 01:01:35.279721
Catskill Senior High School,"#8,627 Best Public High Schools in America",Catskill Central School District,NY,1-12,3.0,77,B,423,11:1,2019-03-19 01:01:35.279728
Nate Perry Elementary School,"#24,928 Best Public Elementary Schools in America",Liverpool Central School District,NY,K-6,nan,nan,B,417,13:1,2019-03-19 01:01:35.279735
Origins High School,"#8,634 Best Public High Schools in America",New York City Geographic District No. 22,NY,9-11,3.5,11,B,330,13:1,2019-03-19 01:01:35.279742
East Side Community School,"#8,639 Best Public High Schools in America",New York City Geographic District No. 1,NY,6-12,4.5,20,B,679,14:1,2019-03-19 01:01:35.279750
City Knoll Middle School,"#9,899 Best Public Middle Schools in America",New York City Geographic District No. 2,NY,6-7,nan,nan,B,161,11:1,2019-03-19 01:01:35.279756
PS 176 - Cambria Heights,"#24,966 Best Public Elementary Schools in America",New York City Geographic District No. 29,NY,"PK, K-5",4.0,1,B,733,17:1,2019-03-19 01:01:35.279763
Williamson Elementary School,"#24,968 Best Public Elementary Schools in America",Williamson Central School District,NY,"PK, K-6",nan,nan,B,455,14:1,2019-03-19 01:01:35.279799
Cairo-Durham High School,"#8,661 Best Public High Schools in America",Cairo-Durham Central School District,NY,9-12,3.5,55,B,369,10:1,2019-03-19 01:01:35.279811
Oliver W Winch Middle School,"#9,930 Best Public Middle Schools in America",South Glens Falls Central School District,NY,6-8,nan,nan,B,725,13:1,2019-03-19 01:01:35.279818
New Visions Elementary School,"#25,021 Best Public Elementary Schools in America",Freeport Union Free School District,NY,K-4,5.0,1,B,533,14:1,2019-03-19 01:01:35.279830
Harrison Avenue Elementary School,"#25,062 Best Public Elementary Schools in America",South Glens Falls Central School District,NY,K-5,nan,nan,B,328,14:1,2019-03-19 01:01:35.279837
Canajoharie Senior High School,"#8,701 Best Public High Schools in America",Canajoharie Central School District,NY,9-12,3.5,53,B,319,13:1,2019-03-19 01:01:35.279844
Southern Cayuga 7-12 Secondary School,"#8,702 Best Public High Schools in America",Southern Cayuga Central School District,NY,7-12,3.0,33,B,286,11:1,2019-03-19 01:01:35.279850
School Without Walls,"#8,706 Best Public High Schools in America",Rochester City School District,NY,9-12,4.0,54,B,250,10:1,2019-03-19 01:01:35.279857
PS 124 - Silas B Dutcher,"#25,104 Best Public Elementary Schools in America",New York City Geographic District No. 15,NY,"PK, K-5",nan,nan,B,342,13:1,2019-03-19 01:01:35.279863
Urban Assembly School for Criminal Justice,"#8,727 Best Public High Schools in America",New York City Geographic District No. 20,NY,6-12,4.0,73,B,531,13:1,2019-03-19 01:01:35.279870
Ohio Elementary School,"#25,132 Best Public Elementary Schools in America",North Tonawanda City School District,NY,K-6,3.5,7,B,472,18:1,2019-03-19 01:01:35.279877
Royalton-Hartland Middle School,"#9,992 Best Public Middle Schools in America",Royalton-Hartland Central School District,NY,5-8,nan,nan,B,395,13:1,2019-03-19 01:01:35.279884
PS 149 - Christa McAuliffe,"#25,152 Best Public Elementary Schools in America",New York City Geographic District No. 30,NY,K-5,nan,nan,B,"1,180",15:1,2019-03-19 01:01:35.279891
New Lane Memorial Elementary School,"#25,193 Best Public Elementary Schools in America",Middle Country Central School District,NY,1-6,5.0,1,B,747,16:1,2019-03-19 01:01:35.279898
JHS 88 - Peter Rouget,"#10,018 Best Public Middle Schools in America",New York City Geographic District No. 15,NY,5-8,2.5,3,B,"1,253",14:1,2019-03-19 01:01:35.279905
Le Roy Junior/Senior High School,"#8,778 Best Public High Schools in America",Le Roy Central School District,NY,7-12,4.0,67,B,541,12:1,2019-03-19 01:01:35.279912
PS 146 - Howard Beach,"#25,244 Best Public Elementary Schools in America",New York City Geographic District No. 27,NY,"PK, K-8",4.0,6,B,703,14:1,2019-03-19 01:01:35.279926
Beaver River Middle School,"#10,053 Best Public Middle Schools in America",Beaver River Central School District,NY,6-8,nan,nan,B,177,58:1,2019-03-19 01:01:35.279933
PS 17 - Henry D Woodworth,"#25,266 Best Public Elementary Schools in America",New York City Geographic District No. 14,NY,"PK, K-5",nan,nan,B,297,10:1,2019-03-19 01:01:35.279939
Elizabeth Cady Stanton Elementary School,"#25,302 Best Public Elementary Schools in America",Seneca Falls Central School District,NY,3-5,nan,nan,B,302,14:1,2019-03-19 01:01:35.279946
Haverling Senior High School,"#8,822 Best Public High Schools in America",Bath Central School District,NY,9-12,4.0,35,B,458,12:1,2019-03-19 01:01:35.279954
Coxsackie Elementary School,"#25,323 Best Public Elementary Schools in America",Coxsackie-Athens Central School District,NY,K-4,nan,nan,B,291,13:1,2019-03-19 01:01:35.279961
IS 250 - The Robert F Kennedy Community Middle School,"#10,093 Best Public Middle Schools in America",New York City Geographic District No. 25,NY,5-8,nan,nan,B,375,13:1,2019-03-19 01:01:35.279967
William Floyd Elementary School,"#25,378 Best Public Elementary Schools in America",William Floyd Union Free School District,NY,K-5,5.0,1,B,743,15:1,2019-03-19 01:01:35.279980
Maryvale High School,"#8,859 Best Public High Schools in America",Cheektowaga-Maryvale Union Free School District,NY,9-12,3.5,164,B,679,15:1,2019-03-19 01:01:35.279987
Thomas A Edison Elementary School,"#25,393 Best Public Elementary Schools in America",Kenmore-Tonawanda Union Free School District,NY,K-5,nan,nan,B,490,14:1,2019-03-19 01:01:35.279994
Jefferson Elementary School,"#25,404 Best Public Elementary Schools in America",New Rochelle City School District,NY,K-5,nan,nan,B,626,13:1,2019-03-19 01:01:35.280001
Pieter B Coeymans School,"#25,410 Best Public Elementary Schools in America",Ravena-Coeymans-Selkirk Central School District,NY,"PK, K-5",nan,nan,B,431,9:1,2019-03-19 01:01:35.280007
PS 273,"#25,411 Best Public Elementary Schools in America",New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,B,365,14:1,2019-03-19 01:01:35.280014
Walter B Howard Elementary School,"#25,413 Best Public Elementary Schools in America",New Lebanon Central School District,NY,"PK, K-6",3.5,3,B,203,10:1,2019-03-19 01:01:35.280020
Ostrander Elementary School,"#25,421 Best Public Elementary Schools in America",Wallkill Central School District,NY,K-6,nan,nan,B,509,12:1,2019-03-19 01:01:35.280027
Emma Lazarus High School,"#8,877 Best Public High Schools in America",New York City Geographic District No. 2,NY,9-11,4.0,18,B,248,17:1,2019-03-19 01:01:35.280034
IS 381,"#10,142 Best Public Middle Schools in America",New York City Geographic District No. 22,NY,6-8,nan,nan,B,309,14:1,2019-03-19 01:01:35.280041
Woodlands Middle School,"#10,162 Best Public Middle Schools in America",Greenburgh Central School District,NY,7-8,nan,nan,B,226,9:1,2019-03-19 01:01:35.280047
Young Women&aposs Leadership School of Queens,"#8,904 Best Public High Schools in America",New York City Geographic District No. 28,NY,6-12,3.5,62,B,557,17:1,2019-03-19 01:01:35.280054
Winchester Elementary School,"#25,496 Best Public Elementary Schools in America",West Seneca Central School District,NY,K-5,nan,nan,B,448,16:1,2019-03-19 01:01:35.280061
Andrew J Smith Elementary School,"#25,504 Best Public Elementary Schools in America",Union Springs Central School District,NY,4-6,nan,nan,B,175,12:1,2019-03-19 01:01:35.280068
Saugerties Senior High School,"#8,921 Best Public High Schools in America",Saugerties Central School District,NY,9-12,3.5,122,B,863,16:1,2019-03-19 01:01:35.280075
Theodore Roosevelt Elementary School,"#25,525 Best Public Elementary Schools in America",Kenmore-Tonawanda Union Free School District,NY,1-5,nan,nan,B,215,14:1,2019-03-19 01:01:35.280081
West Buffalo Charter School,"#25,544 Best Public Elementary Schools in America",Buffalo,NY,K-4,nan,nan,B,298,12:1,2019-03-19 01:01:35.280088
PS 86 - Kingsbridge Heights,"#25,574 Best Public Elementary Schools in America",New York City Geographic District No. 10,NY,"PK, K-6",nan,nan,B,"1,688",17:1,2019-03-19 01:01:35.280094
Griffith Institute Middle School,"#10,202 Best Public Middle Schools in America",Springville-Griffith Institute Central School District,NY,6-8,5.0,1,B,394,12:1,2019-03-19 01:01:35.280100
JE Lanigan School,"#25,585 Best Public Elementary Schools in America",Fulton City School District,NY,K-6,nan,nan,B,408,13:1,2019-03-19 01:01:35.280107
West Genesee Middle School,"#10,209 Best Public Middle Schools in America",West Genesee Central School District,NY,6-8,3.0,1,B,690,15:1,2019-03-19 01:01:35.280113
Berlin High School,nan,Berlin Central School District,NY,9-12,3.5,33,B-,221,12:1,2019-03-19 01:01:35.280120
PS 124 - Osmond A Church,nan,New York City Geographic District No. 27,NY,K-8,4.0,2,B-,"1,285",17:1,2019-03-19 01:01:35.280127
Guardino Elementary School,nan,Thousand Islands Central School District,NY,K-5,nan,nan,B-,287,12:1,2019-03-19 01:01:35.280133
PS 88 - Seneca,nan,New York City Geographic District No. 24,NY,"PK, K-5",3.0,1,B-,"1,055",15:1,2019-03-19 01:01:35.280139
Silver Creek High School,nan,Silver Creek Central School District,NY,9-12,3.0,53,B-,289,15:1,2019-03-19 01:01:35.280145
Girls Preparatory Charter School of the Bronx,nan,Bronx,NY,K-7,nan,nan,B-,674,14:1,2019-03-19 01:01:35.280151
Oxhead Road School,nan,Middle Country Central School District,NY,1-5,nan,nan,B-,361,13:1,2019-03-19 01:01:35.280169
Ralph R McKee Career & Technical High School,nan,New York City Geographic District No. 31,NY,9-12,4.0,112,B-,641,16:1,2019-03-19 01:01:35.280176
Canisteo-Greenwood Elementary School,nan,Canisteo-Greenwood Central School District,NY,"PK, K-7",nan,nan,B-,580,15:1,2019-03-19 01:01:35.280182
Emma C Chase School,nan,Monticello Central School District,NY,K-5,3.0,1,B-,326,13:1,2019-03-19 01:01:35.280188
Riverton Street Charter School,nan,St. Albans,NY,K-8,5.0,1,B-,829,20:1,2019-03-19 01:01:35.280194
Fordham High School for the Arts,nan,New York City Geographic District No. 10,NY,9-12,4.0,89,B-,379,14:1,2019-03-19 01:01:35.280201
Sidney High School,nan,Sidney Central School District,NY,9-12,4.0,39,B-,311,17:1,2019-03-19 01:01:35.280207
Health Sciences Charter School,nan,Buffalo,NY,9-12,4.0,13,B-,462,12:1,2019-03-19 01:01:35.280213
Reginald Bennett Elementary School,nan,Onteora Central School District,NY,3-6,nan,nan,B-,288,10:1,2019-03-19 01:01:35.280218
Achievement First - Apollo School,nan,Brooklyn,NY,K-6,nan,nan,B-,679,12:1,2019-03-19 01:01:35.280224
Riverside Elementary School,nan,Oneonta City School District,NY,K-5,nan,nan,B-,260,13:1,2019-03-19 01:01:35.280230
Richard T Stank Middle School,nan,Susquehanna Valley Central School District,NY,6-8,nan,nan,B-,321,12:1,2019-03-19 01:01:35.280236
Oneida Senior High School,nan,Oneida City School District,NY,9-12,3.5,76,B-,672,13:1,2019-03-19 01:01:35.280242
Greene High School,nan,Greene Central School District,NY,9-12,3.5,63,B-,310,15:1,2019-03-19 01:01:35.280248
PS 11 - Thomas Dongan School,nan,New York City Geographic District No. 31,NY,"PK, K-6",nan,nan,B-,277,12:1,2019-03-19 01:01:35.280253
Cambridge Elementary School,nan,Cambridge Central School District,NY,"PK, K-6",1.0,1,B-,439,13:1,2019-03-19 01:01:35.280259
PS 204 - Morris Heights,nan,New York City Geographic District No. 9,NY,"PK, K-5",nan,nan,B-,612,16:1,2019-03-19 01:01:35.280265
Spencer-Van Etten High School,nan,Spencer-Van Etten Central School District,NY,9-12,3.5,82,B-,256,11:1,2019-03-19 01:01:35.280272
Schalmont Middle School,nan,Schalmont Central School District,NY,5-8,nan,nan,B-,582,13:1,2019-03-19 01:01:35.280278
Urban Academy Laboratory High School,nan,New York City Geographic District No. 2,NY,9-12,3.5,25,B-,155,10:1,2019-03-19 01:01:35.280284
Laurelton-Pardee Intermediate School,nan,East Irondequoit Central School District,NY,2-5,nan,nan,B-,298,12:1,2019-03-19 01:01:35.280290
PS 206 - The Horace Harding School,nan,New York City Geographic District No. 28,NY,"PK, K-5",nan,nan,B-,595,15:1,2019-03-19 01:01:35.280297
Benton Hall Academy,nan,Little Falls City School District,NY,"PK, K-5",nan,nan,B-,464,12:1,2019-03-19 01:01:35.280303
Cambridge Junior/Senior High School,nan,Cambridge Central School District,NY,7-12,3.5,24,B-,425,12:1,2019-03-19 01:01:35.280309
Monticello High School,nan,Monticello Central School District,NY,9-12,3.0,124,B-,895,11:1,2019-03-19 01:01:35.280314
IS 93 - Ridgewood,nan,New York City Geographic District No. 24,NY,6-8,3.5,3,B-,"1,151",14:1,2019-03-19 01:01:35.280320
Spencer-Van Etten Middle School,nan,Spencer-Van Etten Central School District,NY,5-8,nan,nan,B-,271,10:1,2019-03-19 01:01:35.280326
Jordan-Elbridge High School,nan,Jordan-Elbridge Central School District,NY,9-12,4.0,54,B-,436,13:1,2019-03-19 01:01:35.280332
Fonda-Fultonville Middle School,nan,Fonda-Fultonville Central School District,NY,5-8,nan,nan,B-,453,16:1,2019-03-19 01:01:35.280338
Verne W Critz Elementary School,nan,South Country Central School District,NY,K-3,nan,nan,B-,407,14:1,2019-03-19 01:01:35.280343
Carthage Senior High School,nan,Carthage Central School District,NY,9-12,3.5,126,B-,941,14:1,2019-03-19 01:01:35.280349
Berlin Elementary School,nan,Berlin Central School District,NY,"PK, K-5",nan,nan,B-,294,10:1,2019-03-19 01:01:35.280355
Sackets Harbor Central School,nan,Sackets Harbor Central School District,NY,K-12,4.0,12,B-,448,12:1,2019-03-19 01:01:35.280360
MS 250 - West Side Collaborative Middle School,nan,New York City Geographic District No. 3,NY,6-8,2.0,1,B-,180,11:1,2019-03-19 01:01:35.280366
Haverstraw Elementary School,nan,North Rockland Central School District,NY,4-6,nan,nan,B-,586,15:1,2019-03-19 01:01:35.280372
Barker Junior/Senior High School,nan,Barker Central School District,NY,5-12,4.0,33,B-,365,13:1,2019-03-19 01:01:35.280378
Round Hill Elementary School,nan,Washingtonville Central School District,NY,"PK, K-5",nan,nan,B-,521,15:1,2019-03-19 01:01:35.280384
Waterford Junior/Senior High School,nan,Waterford-Halfmoon Union Free School District,NY,7-12,3.5,23,B-,375,10:1,2019-03-19 01:01:35.280390
Maryvale Middle School,nan,Cheektowaga-Maryvale Union Free School District,NY,6-8,nan,nan,B-,466,13:1,2019-03-19 01:01:35.280396
PS 212 - Leonardo da Vinci High School,nan,Buffalo City School District,NY,9-12,3.5,110,B-,377,14:1,2019-03-19 01:01:35.280402
Newburgh Free Academy - Main Campus,nan,Newburgh City School District,NY,9-12,3.5,311,B-,"3,175",13:1,2019-03-19 01:01:35.280408
PS 65,nan,New York City Geographic District No. 19,NY,K-5,5.0,1,B-,657,16:1,2019-03-19 01:01:35.280414
PS 315K,nan,New York City Geographic District No. 22,NY,"PK, K-5",nan,nan,B-,721,16:1,2019-03-19 01:01:35.280419
New Roots Charter School,nan,Ithaca,NY,9-12,4.0,22,B-,137,11:1,2019-03-19 01:01:35.280425
California Avenue Elementary School,nan,Uniondale Union Free School District,NY,K-5,nan,nan,B-,808,12:1,2019-03-19 01:01:35.280431
Nathaniel Woodhull Elementary School,nan,William Floyd Union Free School District,NY,K-5,5.0,2,B-,740,16:1,2019-03-19 01:01:35.280437
WA Wettel Elementary School,nan,Sherrill City School District,NY,"PK, K-6",nan,nan,B-,316,14:1,2019-03-19 01:01:35.280443
Portville Junior/Senior High School,nan,Portville Central School District,NY,7-12,4.0,59,B-,440,15:1,2019-03-19 01:01:35.280461
PS 71 - Rose E Scala,nan,New York City Geographic District No. 8,NY,K-8,4.0,7,B-,"1,707",16:1,2019-03-19 01:01:35.280467
PS 90 - Edna Cohen School,nan,New York City Geographic District No. 21,NY,"PK, K-5",nan,nan,B-,641,13:1,2019-03-19 01:01:35.280474
Herbert Hoover Elementary School,nan,Kenmore-Tonawanda Union Free School District,NY,K-5,5.0,1,B-,606,15:1,2019-03-19 01:01:35.280481
Academy of Innovative Technology High School,nan,New York City Geographic District No. 19,NY,9-12,4.0,27,B-,403,11:1,2019-03-19 01:01:35.280488
Karl W Saile Bear Road Elementary School,nan,North Syracuse Central School District,NY,K-4,nan,nan,B-,651,16:1,2019-03-19 01:01:35.280493
Barringer Road Elementary School,nan,Central Valley Central School District at Ilion-Mohawk,NY,"PK, K-4",nan,nan,B-,520,14:1,2019-03-19 01:01:35.280500
Violet Avenue School,nan,Hyde Park Central School District,NY,K-5,nan,nan,B-,294,12:1,2019-03-19 01:01:35.280506
Robert F Wagner Jr Secondary School for Arts & Technology,nan,New York City Geographic District No. 24,NY,6-12,4.0,46,B-,624,19:1,2019-03-19 01:01:35.280512
PS 90 - Horace Mann,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,B-,849,16:1,2019-03-19 01:01:35.280519
Buckman Heights Elementary School,nan,Greece Central School District,NY,3-5,nan,nan,B-,333,12:1,2019-03-19 01:01:35.280525
Town of Webb School,nan,Town of Webb Union Free School District,NY,K-12,4.0,43,B-,271,9:1,2019-03-19 01:01:35.280531
Colton-Pierrepont Central School,nan,Colton-Pierrepont Central School District,NY,"PK, K-12",4.0,9,B-,319,9:1,2019-03-19 01:01:35.280537
Waterside Children&aposs Studio School,nan,New York City Geographic District No. 27,NY,"PK, K-5",nan,nan,B-,488,13:1,2019-03-19 01:01:35.280544
Unatego Junior/Senior High School,nan,Otego-Unadilla Central School District,NY,9-12,3.5,16,B-,291,13:1,2019-03-19 01:01:35.280550
IS 318 - Eugenio Maria de Hostos,nan,New York City Geographic District No. 14,NY,6-8,4.0,5,B-,"1,471",16:1,2019-03-19 01:01:35.280556
Dream Charter School,nan,New York,NY,"PK, K-8",nan,nan,B-,446,9:1,2019-03-19 01:01:35.280563
Meadow School,nan,North Tonawanda City School District,NY,K-6,nan,nan,B-,618,16:1,2019-03-19 01:01:35.280568
Canaan Elementary School,nan,Patchogue-Medford Union Free School District,NY,K-5,nan,nan,B-,497,18:1,2019-03-19 01:01:35.280574
Newark Valley Senior High School,nan,Newark Valley Central School District,NY,8-12,4.0,67,B-,476,12:1,2019-03-19 01:01:35.280598
Ernie Davis Academy,nan,Elmira City School District,NY,8-9,3.0,42,B-,886,13:1,2019-03-19 01:01:35.280605
School For Inquiry And Social Justice,nan,New York City Geographic District No. 8,NY,6-8,2.0,1,B-,469,15:1,2019-03-19 01:01:35.280611
Jefferson Primary School,nan,Huntington Union Free School District,NY,K-4,nan,nan,B-,356,13:1,2019-03-19 01:01:35.280618
Campbell-Savona Elementary School,nan,Campbell-Savona Central School District,NY,"PK, K-6",nan,nan,B-,465,12:1,2019-03-19 01:01:35.280624
Tremont Elementary School,nan,Patchogue-Medford Union Free School District,NY,K-5,nan,nan,B-,463,17:1,2019-03-19 01:01:35.280631
Lawrence Road Middle School,nan,Uniondale Union Free School District,NY,6-8,5.0,4,B-,786,11:1,2019-03-19 01:01:35.280637
Germantown Junior-Senior High School,nan,Germantown Central School District,NY,7-12,4.5,2,B-,249,10:1,2019-03-19 01:01:35.280644
John Dewey High School,nan,New York City Geographic District No. 21,NY,8-12,3.5,308,B-,"2,213",21:1,2019-03-19 01:01:35.280650
Salem Elementary School,nan,Salem Central School District,NY,K-6,nan,nan,B-,254,11:1,2019-03-19 01:01:35.280657
Anna Merritt Elementary School,nan,Lockport City School District,NY,K-4,nan,nan,B-,362,15:1,2019-03-19 01:01:35.280663
Wellsville Middle School,nan,Wellsville Central School District,NY,6-8,nan,nan,B-,267,12:1,2019-03-19 01:01:35.280669
Deauville Gardens East Elementary School,nan,Copiague Union Free School District,NY,K-5,nan,nan,B-,491,24:1,2019-03-19 01:01:35.280675
Pinewood Elementary School,nan,Rotterdam-Mohonasen Central School District,NY,3-5,nan,nan,B-,601,15:1,2019-03-19 01:01:35.280681
Herbert Hoover Middle School,nan,Kenmore-Tonawanda Union Free School District,NY,6-8,2.5,3,B-,715,11:1,2019-03-19 01:01:35.280686
Clifford Wise Intermediate/Middle School,nan,Medina Central School District,NY,3-7,nan,nan,B-,477,11:1,2019-03-19 01:01:35.280692
Rhame Avenue Elementary School,nan,East Rockaway Union Free School District,NY,K-6,nan,nan,B-,312,14:1,2019-03-19 01:01:35.280698
PS 291,nan,New York City Geographic District No. 10,NY,K-5,nan,nan,B-,666,15:1,2019-03-19 01:01:35.280704
Mount Marion Elementary School,nan,Saugerties Central School District,NY,K-6,nan,nan,B-,278,12:1,2019-03-19 01:01:35.280709
Andries Hudde School,nan,New York City Geographic District No. 22,NY,K-8,3.5,2,B-,823,16:1,2019-03-19 01:01:35.280715
Aura A Cole Elementary School,nan,Central Square Central School District,NY,"PK, K-5",nan,nan,B-,427,16:1,2019-03-19 01:01:35.280721
Highland Elementary School,nan,Highland Central School District,NY,K-5,4.0,2,B-,802,14:1,2019-03-19 01:01:35.280727
Hyde Leadership Charter School,nan,Bronx,NY,K-12,3.5,61,B-,951,10:1,2019-03-19 01:01:35.280732
Manhattan Early College School for Advertising,nan,New York City Geographic District No. 2,NY,9-10,4.0,8,B-,190,13:1,2019-03-19 01:01:35.280737
Watertown Senior High School,nan,Watertown City School District,NY,9-12,3.5,119,B-,"1,053",15:1,2019-03-19 01:01:35.280744
Montessori Magnet School,nan,Albany City School District,NY,"PK, K-5",nan,nan,B-,318,17:1,2019-03-19 01:01:35.280750
Letchworth Middle School,nan,Letchworth Central School District,NY,5-8,nan,nan,B-,284,16:1,2019-03-19 01:01:35.280756
Duanesburg High School,nan,Duanesburg Central School District,NY,7-12,3.0,25,B-,362,10:1,2019-03-19 01:01:35.280762
PS 65 - The Raymond York Elementary School,nan,New York City Geographic District No. 27,NY,K-5,5.0,1,B-,495,15:1,2019-03-19 01:01:35.280768
Hunter-Tannersville Middle/High School,nan,Hunter-Tannersville Central School District,NY,7-12,4.0,34,B-,156,8:1,2019-03-19 01:01:35.280775
PS 68 - Cambridge,nan,New York City Geographic District No. 24,NY,"PK, K-5",nan,nan,B-,765,15:1,2019-03-19 01:01:35.280781
Nottingham High School,nan,Syracuse City School District,NY,9-12,3.5,152,B-,"1,330",17:1,2019-03-19 01:01:35.280787
Hoosick Falls Elementary School,nan,Hoosick Falls Central School District,NY,"PK, K-6",nan,nan,B-,553,13:1,2019-03-19 01:01:35.280793
Brentwood High School,nan,Brentwood Union Free School District,NY,9-12,4.0,609,B-,"4,506",19:1,2019-03-19 01:01:35.280798
Number 2 School,nan,Lawrence Union Free School District,NY,1-2,nan,nan,B-,393,12:1,2019-03-19 01:01:35.280804
Chenango Valley Middle School,nan,Chenango Valley Central School District,NY,6-8,nan,nan,B-,360,14:1,2019-03-19 01:01:35.280810
Niagara Falls High School,nan,Niagara Falls City School District,NY,9-12,3.5,138,B-,"1,919",17:1,2019-03-19 01:01:35.280816
Glen Cove High School,nan,Glen Cove City School District,NY,9-12,3.5,197,B-,954,14:1,2019-03-19 01:01:35.280822
Pine Bush Elementary School,nan,Pine Bush Central School District,NY,K-5,nan,nan,B-,648,16:1,2019-03-19 01:01:35.280827
PS 67 - Discovery School,nan,Buffalo City School District,NY,"PK, K-8",nan,nan,B-,626,17:1,2019-03-19 01:01:35.280833
Harriet Tubman Charter School,nan,Bronx,NY,K-8,nan,nan,B-,663,14:1,2019-03-19 01:01:35.280838
Anne M Dorner Middle School,nan,Ossining Union Free School District,NY,6-8,4.0,1,B-,"1,088",14:1,2019-03-19 01:01:35.280843
Colden Elementary School,nan,Springville-Griffith Institute Central School District,NY,K-5,5.0,1,B-,192,13:1,2019-03-19 01:01:35.280849
PS 95 - Eastwood,nan,New York City Geographic District No. 29,NY,K-5,5.0,1,B-,"1,502",18:1,2019-03-19 01:01:35.280856
PS/IS 208,nan,New York City Geographic District No. 29,NY,K-8,3.5,6,B-,733,14:1,2019-03-19 01:01:35.280862
Chenango Forks Middle School,nan,Chenango Forks Central School District,NY,6-8,nan,nan,B-,348,14:1,2019-03-19 01:01:35.280868
PS 7 - Samuel Stern,nan,New York City Geographic District No. 4,NY,"PK, K-8",nan,nan,B-,366,11:1,2019-03-19 01:01:35.280874
Fillmore Central School,nan,Fillmore Central School District,NY,"PK, K-12",4.0,46,B-,646,12:1,2019-03-19 01:01:35.280879
Wellsville Elementary School,nan,Wellsville Central School District,NY,"PK, K-5",nan,nan,B-,579,14:1,2019-03-19 01:01:35.280885
Essex Street Academy,nan,New York City Geographic District No. 2,NY,8-12,4.0,19,B-,354,15:1,2019-03-19 01:01:35.280891
IS 96 - Seth Low,nan,New York City Geographic District No. 21,NY,5-8,2.0,1,B-,632,12:1,2019-03-19 01:01:35.280896
PS 46 - Edward C Blum,nan,New York City Geographic District No. 13,NY,"PK, K-5",nan,nan,B-,360,13:1,2019-03-19 01:01:35.280902
FE Smith School,nan,Cortland City School District,NY,K-6,nan,nan,B-,270,11:1,2019-03-19 01:01:35.280908
Bloomfield Middle School,nan,East Bloomfield Central School District,NY,6-8,nan,nan,B-,203,31:1,2019-03-19 01:01:35.280914
South Lewis High School,nan,South Lewis Central School District,NY,9-12,4.0,28,B-,291,13:1,2019-03-19 01:01:35.280927
NA Hamilton Bicentenial School,nan,Port Jervis City School District,NY,K-6,nan,nan,B-,425,10:1,2019-03-19 01:01:35.280934
Mexico Middle School,nan,Mexico Central School District,NY,5-8,nan,nan,B-,606,10:1,2019-03-19 01:01:35.280940
Veritas Academy,nan,New York City Geographic District No. 25,NY,8-11,4.5,12,B-,409,16:1,2019-03-19 01:01:35.280945
PS 180 - Hugo Newman,nan,New York City Geographic District No. 3,NY,"PK, K-8",nan,nan,B-,595,13:1,2019-03-19 01:01:35.280951
Achievement First - Crown Heights School,nan,Brooklyn,NY,K-12,3.5,31,B-,"1,010",10:1,2019-03-19 01:01:35.280958
Alexander Hamilton High School,nan,Elmsford Union Free School District,NY,7-12,3.5,48,B-,441,11:1,2019-03-19 01:01:35.280964
MS 137 - America&aposs School of Heroes,nan,New York City Geographic District No. 27,NY,6-8,3.0,10,B-,"1,872",16:1,2019-03-19 01:01:35.280975
School 18,nan,Troy City School District,NY,K-5,nan,nan,B-,310,12:1,2019-03-19 01:01:35.280981
Catskill Elementary School,nan,Catskill Central School District,NY,"PK, K-5",nan,nan,B-,805,13:1,2019-03-19 01:01:35.280987
Ben Franklin Middle School,nan,Kenmore-Tonawanda Union Free School District,NY,6-8,nan,nan,B-,504,11:1,2019-03-19 01:01:35.280993
Aquebogue Elementary School,nan,Riverhead Central School District,NY,K-4,nan,nan,B-,487,14:1,2019-03-19 01:01:35.280998
Joseph Henry Elementary School,nan,Galway Central School District,NY,K-6,nan,nan,B-,423,11:1,2019-03-19 01:01:35.281005
Argyle Elementary School,nan,Argyle Central School District,NY,K-6,nan,nan,B-,244,12:1,2019-03-19 01:01:35.281029
Port Leyden Elementary School,nan,South Lewis Central School District,NY,"PK, K-4",nan,nan,B-,199,11:1,2019-03-19 01:01:35.281036
Delaware Academy High School,nan,Delaware Academy Central School District at Delhi,NY,6-12,3.5,22,B-,373,10:1,2019-03-19 01:01:35.281041
Newfield Senior High School,nan,Newfield Central School District,NY,9-12,3.5,25,B-,225,13:1,2019-03-19 01:01:35.281048
Tully Junior/Senior High School,nan,Tully Central School District,NY,7-12,3.5,72,B-,455,13:1,2019-03-19 01:01:35.281054
Pavilion Junior/Senior High School,nan,Pavilion Central School District,NY,6-12,3.0,17,B-,372,9:1,2019-03-19 01:01:35.281060
Harry L Edson School,nan,Kingston City School District,NY,K-4,nan,nan,B-,470,12:1,2019-03-19 01:01:35.281066
Penn Yan Elementary School,nan,Penn Yan Central School District,NY,"PK, K-5",nan,nan,B-,621,11:1,2019-03-19 01:01:35.281071
Young Women&aposs Leadership School of the Bronx,nan,New York City Geographic District No. 9,NY,6-9,4.0,19,B-,330,13:1,2019-03-19 01:01:35.281077
LA Webber Middle/High School,nan,Lyndonville Central School District,NY,7-12,3.0,47,B-,309,11:1,2019-03-19 01:01:35.281083
