School Name,Rank in America,School District,School State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Juan Morel Campos Secondary School,nan,New York City Geographic District No. 14,NY,K-12,3.5,8,C,619,12:1,2019-03-19 01:01:35.289396
John W Lavelle Preparatory Charter School,nan,Staten Island,NY,6-12,4.0,6,C,495,9:1,2019-03-19 01:01:35.289402
Banana Kelly High School,nan,New York City Geographic District No. 8,NY,9-12,4.5,6,C,227,12:1,2019-03-19 01:01:35.289408
PS 34 - John Harvard,nan,New York City Geographic District No. 29,NY,"PK, K-5",nan,nan,C,573,18:1,2019-03-19 01:01:35.289414
Dr Richard Izquierdo Health & Science Charter School,nan,Bronx,NY,6-11,4.5,20,C,626,11:1,2019-03-19 01:01:35.289433
High School of Sports Management,nan,New York City Geographic District No. 21,NY,9-12,3.0,41,C,267,17:1,2019-03-19 01:01:35.289440
Knox Junior High School,nan,Johnstown City School District,NY,7-8,nan,nan,C,246,11:1,2019-03-19 01:01:35.289463
School for Environmental Citizenship,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C,602,13:1,2019-03-19 01:01:35.289473
High School for Teaching & the Professions,nan,New York City Geographic District No. 10,NY,9-12,3.5,28,C,462,14:1,2019-03-19 01:01:35.289482
Academy for Health Careers,nan,New York City Geographic District No. 17,NY,8-12,3.5,43,C,366,13:1,2019-03-19 01:01:35.289493
Fort Ann Middle/High School,nan,Fort Ann Central School District,NY,4-12,3.5,15,C,244,16:1,2019-03-19 01:01:35.289502
Oak Park Elementary School,nan,Brentwood Union Free School District,NY,K-6,nan,nan,C,787,17:1,2019-03-19 01:01:35.289509
Northville High School,nan,Northville Central School District,NY,6-12,nan,nan,C,252,11:1,2019-03-19 01:01:35.289516
Brooklyn Arts & Science Elementary School,nan,New York City Geographic District No. 17,NY,"PK, K-5",nan,nan,C,349,12:1,2019-03-19 01:01:35.289521
PS/IS 54,nan,New York City Geographic District No. 10,NY,"PK, K-5",nan,nan,C,505,16:1,2019-03-19 01:01:35.289528
Martin Van Buren High School,nan,New York City Geographic District No. 26,NY,8-12,3.5,113,C,"1,504",18:1,2019-03-19 01:01:35.289534
Birchwood School,nan,Clarkstown Central School District,NY,K-12,nan,nan,C,79,5:1,2019-03-19 01:01:35.289540
West Valley Central School,nan,West Valley Central School District,NY,"PK, K-12",3.0,37,C,263,8:1,2019-03-19 01:01:35.289546
Bronx International High School,nan,New York City Geographic District No. 9,NY,9-12,4.0,29,C,396,17:1,2019-03-19 01:01:35.289552
Walton Middle School,nan,Walton Central School District,NY,6-9,nan,nan,C,207,11:1,2019-03-19 01:01:35.289558
Thomas Jefferson Middle School,nan,Jamestown City School District,NY,5-8,nan,nan,C,479,11:1,2019-03-19 01:01:35.289563
PS 81 - Thaddeus Stevens,nan,New York City Geographic District No. 16,NY,"PK, K-5",nan,nan,C,308,11:1,2019-03-19 01:01:35.289569
PS/IS 137 - Rachael Jean Mitchell,nan,New York City Geographic District No. 23,NY,"PK, K-8",4.5,2,C,290,12:1,2019-03-19 01:01:35.289575
PS 72 - Dr William Dorney,nan,New York City Geographic District No. 8,NY,"PK, K-5",4.0,1,C,868,14:1,2019-03-19 01:01:35.289582
Davis Elementary School,nan,Malone Central School District,NY,"PK, K-5",nan,nan,C,611,14:1,2019-03-19 01:01:35.289587
PS 173,nan,New York City Geographic District No. 6,NY,"PK, K-5",4.0,1,C,584,14:1,2019-03-19 01:01:35.289593
Academy for Personal Leadership & Excellence,nan,New York City Geographic District No. 10,NY,6-8,nan,nan,C,444,9:1,2019-03-19 01:01:35.289599
Lackawanna Middle School,nan,Lackawanna City School District,NY,6-8,nan,nan,C,366,17:1,2019-03-19 01:01:35.289605
PS 354,nan,New York City Geographic District No. 28,NY,"PK, K-5",nan,nan,C,633,14:1,2019-03-19 01:01:35.289611
Auburn Junior High School,nan,Auburn City School District,NY,7-8,nan,nan,C,600,13:1,2019-03-19 01:01:35.289616
PS 274 - Kosciusko,nan,New York City Geographic District No. 32,NY,"PK, K-5",nan,nan,C,502,15:1,2019-03-19 01:01:35.289622
Salamanca Junior/Senior High School,nan,Salamanca City School District,NY,7-12,3.0,28,C,493,9:1,2019-03-19 01:01:35.289628
PS 157 - Benjamin Franklin,nan,New York City Geographic District No. 14,NY,"PK, K-8",nan,nan,C,500,13:1,2019-03-19 01:01:35.289634
Candor Junior/Senior High School,nan,Candor Central School District,NY,7-12,4.0,23,C,338,10:1,2019-03-19 01:01:35.289641
Horace Mann Elementary School,nan,Binghamton City School District,NY,K-5,nan,nan,C,312,12:1,2019-03-19 01:01:35.289647
PS 230 - Dr Roland N Patterson,nan,New York City Geographic District No. 9,NY,K-6,nan,nan,C,77,8:1,2019-03-19 01:01:35.289652
Seneca Elementary School,nan,Salamanca City School District,NY,4-6,nan,nan,C,277,12:1,2019-03-19 01:01:35.289658
The Bronx School Of Young Leaders,nan,New York City Geographic District No. 10,NY,6-8,4.0,2,C,393,14:1,2019-03-19 01:01:35.289664
The Urban Assembly School of Music & Art at Waters Edge,nan,New York City Geographic District No. 13,NY,9-12,3.5,36,C,328,13:1,2019-03-19 01:01:35.289670
Arturo A Schomburg Satellite Academy Bronx,nan,New York City Geographic District No. 12,NY,10-12,4.0,1,C,131,12:1,2019-03-19 01:01:35.289676
PS 143 - Louis Armstrong,nan,New York City Geographic District No. 24,NY,K-5,nan,nan,C,"1,758",15:1,2019-03-19 01:01:35.289682
Hinsdale Central School,nan,Hinsdale Central School District,NY,"PK, K-12",3.5,14,C,418,11:1,2019-03-19 01:01:35.289688
Dundee Junior/Senior High School,nan,Dundee Central School District,NY,7-12,3.5,21,C,333,12:1,2019-03-19 01:01:35.289694
Morrisonville Elementary School,nan,Saranac Central School District,NY,K-5,nan,nan,C,330,12:1,2019-03-19 01:01:35.289700
IS 211 - John Wilson,nan,New York City Geographic District No. 18,NY,6-8,5.0,1,C,570,13:1,2019-03-19 01:01:35.289705
Central Park International Magnet School,nan,Schenectady City School District,NY,K-8,nan,nan,C,628,15:1,2019-03-19 01:01:35.289711
Franklin Central School,nan,Franklin Central School District,NY,"PK, K-12",4.5,4,C,271,10:1,2019-03-19 01:01:35.289716
Cataract Elementary School,nan,Niagara Falls City School District,NY,"PK, K-6",3.0,2,C,509,18:1,2019-03-19 01:01:35.289722
PS 96 - Joseph Lanzetta,nan,New York City Geographic District No. 4,NY,"PK, K-8",3.0,6,C,451,12:1,2019-03-19 01:01:35.289728
Queens Academy High School,nan,New York City Geographic District No. 25,NY,10-12,3.0,16,C,358,17:1,2019-03-19 01:01:35.289733
Frederick Douglass Academy,nan,New York City Geographic District No. 5,NY,6-12,3.5,306,C,"1,409",17:1,2019-03-19 01:01:35.289739
Park Avenue School,nan,Amityville Union Free School District,NY,1-6,nan,nan,C,624,10:1,2019-03-19 01:01:35.289745
Academy for New Americans,nan,New York City Geographic District No. 30,NY,6-8,4.0,5,C,135,11:1,2019-03-19 01:01:35.289751
PS 178 - Saint Clair McKelway,nan,New York City Geographic District No. 23,NY,"PK, K-8",nan,nan,C,360,13:1,2019-03-19 01:01:35.289757
