School Name,Rank in America,District,State,School Grade Level,Rating,User Reviews,Overall Niche Grade,School Strength,Student Teacher Ratio,Extracted Date
Gonzales Elementary School,nan,Gonzales Ind School District,TX,2-4,nan,nan,C+,664,15:1,2019-03-18 22:11:28.936750
Alta Vista Elementary School,nan,El Paso Ind School District,TX,"PK, K-5",nan,nan,C+,372,14:1,2019-03-18 22:11:28.936757
Richard Milburn Academy - Corpus Christi,nan,Richard Milburn Alter High School (Corpus Christi),TX,9-12,4.0,5,C+,213,14:1,2019-03-18 22:11:28.936784
Petersburg School,nan,Petersburg Ind School District,TX,"PK, K-12",4.5,12,C+,263,11:1,2019-03-18 22:11:28.936794
Memorial Middle School,nan,La Joya Ind School District,TX,6-9,nan,nan,C+,777,14:1,2019-03-18 22:11:28.936801
WT White High School,nan,Dallas Ind School District,TX,9-12,3.5,330,C+,"2,292",17:1,2019-03-18 22:11:28.936808
Medio Creek Elementary School,nan,Southwest Ind School District,TX,"PK, K-5",nan,nan,C+,684,15:1,2019-03-18 22:11:28.936814
Reilly Elementary School,nan,Austin Ind School District,TX,"PK, K-5",nan,nan,C+,274,11:1,2019-03-18 22:11:28.936821
Frances Corprew Elementary School,nan,Mount Pleasant Ind School District,TX,K-4,4.0,1,C+,436,13:1,2019-03-18 22:11:28.936828
Southwest Schools Bissonnet El Campus,nan,Houston,TX,"PK, K-5",nan,nan,C+,435,23:1,2019-03-18 22:11:28.936835
IDEA Frontier Academy,nan,Brownsville,TX,K-5,nan,nan,C+,711,31:1,2019-03-18 22:11:28.936842
El Campo High School,nan,El Campo Ind School District,TX,9-12,3.0,81,C+,995,15:1,2019-03-18 22:11:28.936848
Sherrod Elementary School,nan,Arlington Ind School District,TX,"PK, K-6",nan,nan,C+,740,15:1,2019-03-18 22:11:28.936854
Berta Palacios Elementary School,nan,Pharr-San Juan-Alamo Ind School District,TX,"PK, K-5",nan,nan,C+,533,17:1,2019-03-18 22:11:28.936861
Walnut Springs School,nan,Walnut Springs Ind School District,TX,"PK, K-12",4.0,12,C+,188,10:1,2019-03-18 22:11:28.936868
West Avenue Elementary School,nan,North East Ind School District,TX,K-5,nan,nan,C+,327,13:1,2019-03-18 22:11:28.936878
Lighthouse Charter School,nan,Lighthouse Charter School,TX,"PK, K-1",nan,nan,C+,93,17:1,2019-03-18 22:11:28.936885
Center High School,nan,Center Ind School District,TX,9-12,3.5,102,C+,753,13:1,2019-03-18 22:11:28.936892
Village Tech Schools,nan,Duncanville,TX,"PK, K-12",4.0,13,C+,725,16:1,2019-03-18 22:11:28.936898
Emerson Elementary School,nan,Houston Ind School District,TX,"PK, K-5",4.0,1,C+,942,18:1,2019-03-18 22:11:28.936905
Odem Junior High School,nan,Odem-Edroy Ind School District,TX,6-8,nan,nan,C+,222,14:1,2019-03-18 22:11:28.936912
Landry Elementary School,nan,Carrollton-Farmers Branch Ind School District,TX,"PK, K-5",nan,nan,C+,457,17:1,2019-03-18 22:11:28.936919
Leggett High School,nan,Leggett Ind School District,TX,7-12,3.5,7,C+,69,10:1,2019-03-18 22:11:28.936926
Strickland Intermediate School,nan,Carrollton-Farmers Branch Ind School District,TX,K-5,5.0,1,C+,736,15:1,2019-03-18 22:11:28.936932
John & Polly Townley Elementary School,nan,Everman Ind School District,TX,"PK, K-4",nan,nan,C+,443,17:1,2019-03-18 22:11:28.936949
Emile Elementary School,nan,Bastrop Ind School District,TX,"PK, K-4",nan,nan,C+,584,15:1,2019-03-18 22:11:28.936956
Walnut Creek Elementary School,nan,Austin Ind School District,TX,"PK, K-5",nan,nan,C+,634,15:1,2019-03-18 22:11:28.936963
Shadydale Elementary School,nan,Houston Ind School District,TX,K-5,nan,nan,C+,915,17:1,2019-03-18 22:11:28.936970
Hidden Cove Elementary School,nan,Southwest Ind School District,TX,"PK, K-5",nan,nan,C+,544,14:1,2019-03-18 22:11:28.936976
Palo Alto Elementary School,nan,South San Antonio Ind School District,TX,"PK, K-5",nan,nan,C+,544,16:1,2019-03-18 22:11:28.936983
Patt Neff Elementary School,nan,Houston Ind School District,TX,2-5,nan,nan,C+,779,20:1,2019-03-18 22:11:28.936990
Mackey Elementary School,nan,Mesquite Ind School District,TX,K-6,nan,nan,C+,773,16:1,2019-03-18 22:11:28.936996
Judge Oscar de la Fuente Elementary School,nan,San Benito Consolidated Ind School District,TX,"PK, K-5",nan,nan,C+,433,18:1,2019-03-18 22:11:28.937003
Richard Milburn Academy - Amarillo,nan,Richard Milburn Academy (Amarillo),TX,9-12,4.5,3,C+,213,17:1,2019-03-18 22:11:28.937010
Yes Prep North Forest,nan,Houston,TX,6-12,4.0,39,C+,812,15:1,2019-03-18 22:11:28.937017
Caldwell Elementary School,nan,Garland Ind School District,TX,"PK, K-5",nan,nan,C+,498,16:1,2019-03-18 22:11:28.937023
Judith Zaffirini Elementary School,nan,United Ind School District,TX,"PK, K-5",nan,nan,C+,"1,108",18:1,2019-03-18 22:11:28.937030
Henderson J Elementary School,nan,Houston Ind School District,TX,"PK, K-5",nan,nan,C+,788,18:1,2019-03-18 22:11:28.937037
